                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.1583,                0.65151,                0.97082,                0.93696,                0.88929,                0.92496,                0.64277,                 1.2502,                0.62622,                0.98635,               0.002377,               0.002377,               0.002377
                     79,                 1.1586,                0.65501,                0.97349,                0.93636,                0.89028,                0.92464,                 0.6431,                 1.2481,                0.62448,                0.98613,               0.002278,               0.002278,               0.002278
                     80,                 1.1422,                0.64429,                0.96541,                0.93543,                0.89039,                0.92445,                0.64305,                 1.2462,                0.62369,                0.98551,               0.002179,               0.002179,               0.002179
                     81,                 1.1404,                0.63992,                0.96529,                0.93571,                0.89138,                0.92503,                 0.6442,                 1.2441,                0.62168,                0.98515,                0.00208,                0.00208,                0.00208
                     82,                 1.1313,                0.63268,                0.96254,                 0.9366,                0.89127,                 0.9255,                0.64495,                 1.2442,                0.62016,                0.98469,               0.001981,               0.001981,               0.001981
                     83,                 1.1267,                0.63195,                0.96147,                0.93761,                 0.8909,                0.92567,                0.64539,                 1.2448,                0.61845,                0.98434,               0.001882,               0.001882,               0.001882
                     84,                 1.1143,                0.62655,                0.95597,                0.93933,                0.88922,                0.92554,                0.64575,                 1.2446,                0.61681,                0.98388,               0.001783,               0.001783,               0.001783
                     85,                  1.106,                0.61739,                 0.9534,                0.93937,                0.88982,                0.92572,                0.64597,                 1.2433,                0.61368,                0.98269,               0.001684,               0.001684,               0.001684
                     86,                 1.1003,                0.61928,                0.95272,                0.94009,                0.89002,                0.92603,                0.64638,                 1.2439,                0.61194,                0.98235,               0.001585,               0.001585,               0.001585
                     87,                 1.0914,                 0.6123,                0.95254,                0.94176,                0.88861,                0.92596,                 0.6468,                 1.2436,                0.61019,                0.98186,               0.001486,               0.001486,               0.001486
                     88,                  1.086,                0.61048,                0.95005,                 0.9421,                0.88864,                0.92573,                0.64758,                 1.2434,                0.60922,                0.98154,               0.001387,               0.001387,               0.001387
                     89,                 1.0781,                0.60367,                0.94637,                0.94184,                0.88894,                0.92604,                0.64782,                 1.2425,                0.60745,                0.98113,               0.001288,               0.001288,               0.001288
                     90,                 1.0605,                0.55877,                0.94231,                0.94144,                 0.8899,                0.92592,                0.64814,                 1.2415,                0.60665,                0.98074,               0.001189,               0.001189,               0.001189
                     91,                  1.036,                0.54489,                0.93506,                0.94104,                0.89023,                0.92612,                 0.6488,                 1.2393,                0.60489,                0.98023,                0.00109,                0.00109,                0.00109
                     92,                  1.018,                 0.5331,                0.93032,                0.94195,                0.88992,                0.92638,                0.64956,                 1.2392,                 0.6047,                0.98027,               0.000991,               0.000991,               0.000991
                     93,                 1.0092,                0.52919,                0.92628,                0.94314,                 0.8893,                0.92641,                0.65004,                 1.2388,                0.60369,                0.98008,               0.000892,               0.000892,               0.000892
                     94,                 1.0019,                0.52345,                0.92603,                0.94353,                0.88935,                 0.9265,                0.65062,                 1.2368,                  0.602,                0.97961,               0.000793,               0.000793,               0.000793
                     95,                0.98816,                0.51814,                0.92305,                0.94379,                0.88943,                0.92643,                0.65065,                 1.2359,                 0.6004,                0.97917,               0.000694,               0.000694,               0.000694
                     96,                0.98502,                 0.5146,                0.92097,                0.94411,                0.88926,                0.92669,                0.65131,                 1.2346,                0.59962,                 0.9789,               0.000595,               0.000595,               0.000595
                     97,                0.97058,                0.50975,                0.91799,                0.94428,                0.88904,                0.92678,                0.65203,                 1.2349,                0.59885,                0.97901,               0.000496,               0.000496,               0.000496
                     98,                 0.9596,                0.50557,                0.91456,                0.94533,                0.88871,                0.92693,                0.65263,                 1.2331,                0.59783,                0.97867,               0.000397,               0.000397,               0.000397
                     99,                0.95496,                0.50153,                0.91394,                 0.9441,                0.89016,                0.92702,                0.65301,                 1.2317,                0.59666,                0.97839,               0.000298,               0.000298,               0.000298
